trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
0	temp	a	circle	4	0.8718750000000028	1	64	3 	 5.162749601752363 	 2 	 0.0	2.0	-999.0	1	1	-1	-1	-999	0.0	-999	2.6429 	3.3623 	5.0221 	6.3868 	-999	-999	-999	-999	-999	3.094 	4.4266 	6.2801 	-999	-999	-999	-999	-999	-999	2.5823 	3.725 	5.0159 	5.6308 	-999	-999	-999	-999	-999	0	0	0
1	temp	a	circle	4	0.8718750000000028	-1	62	3 	 4.162010564284101 	 1 	 2.0	-999.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.0977 	3.1792 	3.8137 	5.0749 	-999	-999	-999	-999	-999	2.2307 	3.0524 	4.321 	5.9865 	-999	-999	-999	-999	-999	2.7877 	4.0725 	4.607 	-999	-999	-999	-999	-999	-999	0	0	0
2	temp	a	circle	4	1.171875	-1	61	3 	 4.6574430223835765 	 1 	 -999.0	2.0	-999.0	1	-1	1	-1	-999	0.0	-999	2.4016 	3.6215 	5.2133 	-999	-999	-999	-999	-999	-999	2.609 	3.3748 	4.8139 	6.2034 	-999	-999	-999	-999	-999	2.1787 	3.3786 	4.7465 	5.657 	-999	-999	-999	-999	-999	0	0	0
3	temp	a	circle	2	0.8718750000000028	1	67	3 	 3.9410862524936903 	 1 	 -999.0	0.0	-999.0	1	1	-1	-1	-999	-0.0	-999	2.5375 	4.0359 	4.6381 	-999	-999	-999	-999	-999	-999	2.0044 	2.9051 	4.1907 	5.3964 	-999	-999	-999	-999	-999	2.7071 	3.9924 	5.9722 	-999	-999	-999	-999	-999	-999	0	0	0
4	temp	a	circle	2	0.8718750000000028	1	65	3 	 3.508630329612841 	 2 	 0.0	0.0	-999.0	0	1	-1	-1	-0.0	-999	-999	2.2632 	3.5515 	5.149 	-999	-999	-999	-999	-999	-999	3.0401 	3.8076 	5.1253 	-999	-999	-999	-999	-999	-999	2.5705 	4.3544 	-999	-999	-999	-999	-999	-999	-999	0	0	0
5	temp	a	circle	2	0.02	-1	71	3 	 4.377765610883175 	 1 	 -999.0	-999.0	1.0	2	-1	1	-1	-999	-999	0.0	2.5399 	3.6366 	4.2557 	5.2966 	-999	-999	-999	-999	-999	2.0069 	3.756 	4.8625 	-999	-999	-999	-999	-999	-999	2.1505 	3.2348 	4.2356 	5.8805 	-999	-999	-999	-999	-999	0	0	0
6	temp	a	circle	2	0.1	1	69	3 	 4.286982204852581 	 1 	 -999.0	0.0	1.0	1	1	-1	-1	-999	-0.0	-999	1.7826 	3.4555 	5.2659 	-999	-999	-999	-999	-999	-999	2.0473 	2.8496 	3.6622 	4.2968 	4.9059 	-999	-999	-999	-999	2.7365 	3.8659 	4.9629 	-999	-999	-999	-999	-999	-999	0	0	0
7	temp	a	circle	2	1.171875	-1	70	3 	 5.560514484287097 	 2 	 0.0	0.0	-999.0	1	-1	1	-1	-999	-0.0	-999	2.463 	3.9221 	5.7903 	6.9331 	-999	-999	-999	-999	-999	2.4243 	3.3429 	5.0316 	6.6097 	-999	-999	-999	-999	-999	2.4979 	3.5663 	4.7857 	6.4671 	-999	-999	-999	-999	-999	0	0	0
8	temp	a	circle	4	1.4718749999999972	-1	52	3 	 4.507304475133214 	 1 	 3.0	-999.0	-999.0	0	-1	1	-1	0.0	-999	-999	3.1826 	5.0404 	-999	-999	-999	-999	-999	-999	-999	1.8973 	3.4057 	3.9764 	5.3724 	-999	-999	-999	-999	-999	3.1755 	3.9841 	4.8206 	-999	-999	-999	-999	-999	-999	0	0	0
9	temp	a	circle	4	1.171875	1	75	0 	 5.2762196413448175 	 2 	 1.0	3.0	-999.0	0	1	-1	-1	-2.0	-999	-999	1.9768 	3.8043 	5.2069 	7.0808 	-999	-999	-999	-999	-999	2.8465 	4.7026 	6.1744 	-999	-999	-999	-999	-999	-999	2.336 	3.939 	4.8026 	5.4562 	6.1321 	-999	-999	-999	-999	0	0	0
10	temp	a	circle	4	0.8718750000000028	1	59	3 	 5.261420644916536 	 2 	 2.0	3.0	-999.0	1	1	-1	-1	-999	0.0	-999	3.0315 	4.3817 	5.4015 	6.1803 	-999	-999	-999	-999	-999	2.3291 	4.1525 	5.0383 	6.9076 	-999	-999	-999	-999	-999	2.7795 	4.2559 	5.5636 	-999	-999	-999	-999	-999	-999	0	0	0
11	temp	a	circle	2	1.171875	-1	62	3 	 4.797750460331631 	 1 	 -999.0	-999.0	1.0	2	-1	1	-1	-999	-999	-0.0	3.1796 	4.9626 	6.8055 	-999	-999	-999	-999	-999	-999	3.1295 	4.012 	4.6828 	5.43 	-999	-999	-999	-999	-999	2.7306 	4.1123 	4.9589 	5.4749 	-999	-999	-999	-999	-999	0	0	0
12	temp	a	circle	4	1.7718749999999943	1	64	0 	 4.257741891251511 	 1 	 -999.0	0.0	-999.0	1	1	-1	-1	-999	-1.0	-999	2.4474 	3.6436 	4.4615 	5.3005 	-999	-999	-999	-999	-999	2.0792 	3.7435 	4.4577 	6.141 	-999	-999	-999	-999	-999	1.8369 	3.3314 	5.085 	-999	-999	-999	-999	-999	-999	0	0	0
13	temp	a	circle	4	0.02	-1	67	3 	 3.717434751696548 	 1 	 -999.0	-999.0	2.0	2	-1	1	-1	-999	-999	0.0	2.7565 	3.7426 	5.2889 	-999	-999	-999	-999	-999	-999	1.7404 	3.0995 	4.1877 	-999	-999	-999	-999	-999	-999	2.9181 	3.8901 	5.1411 	-999	-999	-999	-999	-999	-999	0	0	0
14	temp	a	circle	2	1.4718749999999972	-1	51	3 	 3.35204399929645 	 1 	 -999.0	0.0	0.0	2	-1	1	-1	-999	-999	-0.0	1.8688 	2.5315 	4.4024 	-999	-999	-999	-999	-999	-999	1.9395 	2.9623 	3.9386 	-999	-999	-999	-999	-999	-999	1.8617 	3.79 	-999	-999	-999	-999	-999	-999	-999	0	0	0
15	temp	a	circle	4	0.8718750000000028	-1	60	3 	 3.787912256654103 	 2 	 0.0	2.0	-999.0	0	-1	1	-1	0.0	-999	-999	2.793 	4.6608 	-999	-999	-999	-999	-999	-999	-999	2.4444 	3.0851 	3.6341 	5.3574 	-999	-999	-999	-999	-999	2.8762 	3.6466 	4.8123 	-999	-999	-999	-999	-999	-999	0	0	0
16	temp	a	circle	4	1.4718749999999972	1	61	3 	 3.959449668731789 	 1 	 -999.0	0.0	-999.0	1	1	-1	-1	-999	-0.0	-999	3.1527 	4.2696 	-999	-999	-999	-999	-999	-999	-999	2.5571 	3.1265 	3.8941 	4.6268 	-999	-999	-999	-999	-999	1.7956 	3.4105 	5.1569 	-999	-999	-999	-999	-999	-999	0	0	0
17	temp	a	circle	2	1.7718749999999943	-1	77	3 	 4.201212643724547 	 1 	 -999.0	-999.0	0.0	2	-1	1	-1	-999	-999	-0.0	2.7728 	3.5577 	5.3879 	-999	-999	-999	-999	-999	-999	2.7308 	4.1152 	5.3057 	-999	-999	-999	-999	-999	-999	1.976 	2.613 	3.8213 	5.3067 	-999	-999	-999	-999	-999	0	0	0
18	temp	a	circle	4	0.02	-1	63	3 	 4.315247046364293 	 2 	 3.0	1.0	-999.0	1	-1	1	-1	-999	-0.0	-999	1.9092 	3.6746 	4.4129 	5.5329 	-999	-999	-999	-999	-999	3.1842 	4.6771 	-999	-999	-999	-999	-999	-999	-999	2.9554 	3.7949 	5.0142 	-999	-999	-999	-999	-999	-999	0	0	0
19	temp	a	circle	4	1.4718749999999972	-1	54	0 	 3.978441871965881 	 1 	 2.0	0.0	-999.0	0	-1	1	-1	-2.0	-999	-999	3.1958 	4.5124 	-999	-999	-999	-999	-999	-999	-999	2.4129 	3.4116 	5.3153 	-999	-999	-999	-999	-999	-999	1.7678 	2.4226 	3.6272 	4.2841 	-999	-999	-999	-999	-999	0	0	0
20	temp	a	circle	2	1.4718749999999972	-1	70	3 	 3.4443788630205794 	 2 	 1.0	0.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.0328 	3.9403 	-999	-999	-999	-999	-999	-999	-999	3.0612 	4.034 	-999	-999	-999	-999	-999	-999	-999	2.7084 	4.526 	-999	-999	-999	-999	-999	-999	-999	0	0	0
21	temp	a	circle	2	1.7999999999999972	-1	49	0 	 3.932314132808286 	 1 	 -999.0	1.0	-999.0	1	-1	1	-1	-999	-1.0	-999	3.1374 	4.6906 	-999	-999	-999	-999	-999	-999	-999	2.4836 	3.5695 	4.5784 	-999	-999	-999	-999	-999	-999	1.8597 	3.6158 	5.3361 	-999	-999	-999	-999	-999	-999	0	0	0
22	temp	a	circle	4	0.8718750000000028	-1	49	3 	 4.906493660546619 	 2 	 0.0	1.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.9332 	4.6481 	5.3384 	-999	-999	-999	-999	-999	-999	2.6823 	3.4546 	5.3816 	-999	-999	-999	-999	-999	-999	3.1241 	4.0811 	4.7642 	5.6253 	-999	-999	-999	-999	-999	0	0	0
23	temp	a	circle	4	1.0718750000000057	-1	51	0 	 5.132483259690806 	 2 	 2.0	1.0	-999.0	1	-1	1	-1	-999	1.0	-999	2.8079 	3.5852 	5.1482 	5.873 	-999	-999	-999	-999	-999	1.9335 	3.4547 	4.4068 	5.1801 	6.2519 	-999	-999	-999	-999	3.1586 	4.1733 	5.4426 	-999	-999	-999	-999	-999	-999	0	0	0
24	temp	a	circle	2	1.5	1	70	3 	 3.4648388303024635 	 1 	 1.0	-999.0	1.0	0	1	-1	-1	0.0	-999	-999	1.8857 	3.4429 	4.1267 	-999	-999	-999	-999	-999	-999	2.1457 	3.1739 	4.1216 	-999	-999	-999	-999	-999	-999	2.8964 	3.4673 	4.3595 	-999	-999	-999	-999	-999	-999	0	0	0
25	temp	a	circle	4	0.9718750000000114	1	67	0 	 3.4359586497496286 	 2 	 1.0	1.0	-999.0	1	1	-1	-1	-999	2.0	-999	2.2284 	2.812 	4.2572 	-999	-999	-999	-999	-999	-999	2.7878 	4.1356 	-999	-999	-999	-999	-999	-999	-999	2.3214 	3.3391 	4.9583 	-999	-999	-999	-999	-999	-999	0	0	0
26	temp	a	circle	2	1.7718749999999943	1	49	3 	 3.7032229154162124 	 2 	 0.0	0.0	-999.0	1	1	-1	-1	-999	0.0	-999	2.8177 	3.6051 	4.2263 	-999	-999	-999	-999	-999	-999	2.3181 	3.2653 	5.1376 	-999	-999	-999	-999	-999	-999	3.0029 	4.5699 	-999	-999	-999	-999	-999	-999	-999	0	0	0
27	temp	a	circle	4	0.871875000000017	-1	70	0 	 5.233479742285048 	 2 	 0.0	1.0	-999.0	0	-1	1	-1	1.0	-999	-999	3.0935 	4.3291 	5.1336 	6.2179 	-999	-999	-999	-999	-999	2.7375 	4.7108 	6.2843 	-999	-999	-999	-999	-999	-999	3.0424 	4.3441 	5.2916 	6.1487 	-999	-999	-999	-999	-999	0	0	0
28	temp	a	circle	2	1.7999999999999972	1	60	3 	 5.2426620015033425 	 2 	 1.0	1.0	-999.0	0	1	-1	-1	0.0	-999	-999	2.233 	3.6156 	5.1036 	6.832 	-999	-999	-999	-999	-999	2.6031 	4.4221 	6.1088 	-999	-999	-999	-999	-999	-999	2.8067 	4.0237 	5.3746 	6.0349 	-999	-999	-999	-999	-999	0	0	0
29	temp	a	circle	2	1.7999999999999972	-1	72	3 	 3.5263989163640415 	 2 	 0.0	0.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.9504 	3.6181 	4.7651 	-999	-999	-999	-999	-999	-999	2.3127 	3.1874 	3.8939 	-999	-999	-999	-999	-999	-999	1.8352 	3.1807 	3.7845 	5.2005 	-999	-999	-999	-999	-999	0	0	0
30	temp	a	circle	2	0.1	-1	52	3 	 4.582303957427808 	 2 	 0.0	0.0	-999.0	0	-1	1	-1	-0.0	-999	-999	2.7362 	4.2148 	6.1142 	-999	-999	-999	-999	-999	-999	2.8103 	4.5669 	6.4057 	-999	-999	-999	-999	-999	-999	2.204 	3.8854 	5.0753 	-999	-999	-999	-999	-999	-999	0	0	0
31	temp	a	circle	2	0.1	1	51	3 	 4.171233503969936 	 2 	 1.0	1.0	-999.0	0	1	-1	-1	0.0	-999	-999	2.1378 	2.8341 	4.3488 	5.9831 	-999	-999	-999	-999	-999	2.9101 	4.5215 	-999	-999	-999	-999	-999	-999	-999	1.8323 	3.2942 	4.9892 	-999	-999	-999	-999	-999	-999	0	0	0
32	temp	a	circle	4	1.171875	1	70	0 	 4.120249487656622 	 1 	 3.0	-999.0	-999.0	0	1	-1	-1	1.0	-999	-999	2.4659 	4.2443 	4.953 	-999	-999	-999	-999	-999	-999	2.8976 	4.2785 	5.0012 	-999	-999	-999	-999	-999	-999	3.1709 	3.8521 	5.4556 	-999	-999	-999	-999	-999	-999	0	0	0
33	temp	a	circle	4	0.02	1	76	3 	 4.5603441962680655 	 2 	 2.0	3.0	-999.0	1	1	-1	-1	-999	-0.0	-999	2.4166 	3.6156 	4.604 	6.1805 	-999	-999	-999	-999	-999	3.178 	4.2222 	6.1528 	-999	-999	-999	-999	-999	-999	1.7742 	3.2498 	4.4606 	5.171 	-999	-999	-999	-999	-999	0	0	0
34	temp	a	circle	2	1.5	1	69	3 	 5.240754633368162 	 1 	 1.0	-999.0	0.0	0	1	-1	-1	0.0	-999	-999	2.0089 	3.6596 	4.2483 	5.8243 	-999	-999	-999	-999	-999	1.7006 	2.683 	4.245 	4.9864 	6.0092 	-999	-999	-999	-999	2.1126 	3.0765 	3.9071 	4.5879 	6.4761 	-999	-999	-999	-999	0	0	0
35	temp	a	circle	2	1.7999999999999972	1	62	3 	 5.464317185534043 	 2 	 1.0	0.0	-999.0	1	1	-1	-1	-999	0.0	-999	2.012 	3.651 	5.0583 	6.2524 	-999	-999	-999	-999	-999	2.041 	3.7315 	4.3753 	5.1881 	6.0622 	-999	-999	-999	-999	2.2799 	4.2024 	5.4176 	6.1553 	-999	-999	-999	-999	-999	0	0	0
36	temp	a	circle	2	1.5	1	70	3 	 4.9304180739026595 	 1 	 -999.0	1.0	0.0	2	1	-1	-1	-999	-999	-0.0	2.4298 	3.4924 	4.1609 	5.9449 	-999	-999	-999	-999	-999	2.3796 	4.3411 	5.46 	-999	-999	-999	-999	-999	-999	2.8251 	4.2391 	4.9034 	5.6251 	-999	-999	-999	-999	-999	0	0	0
37	temp	a	circle	4	0.1	1	76	3 	 4.457824689501981 	 1 	 -999.0	-999.0	2.0	2	1	-1	-1	-999	-999	-0.0	2.411 	3.006 	3.7848 	4.3191 	5.4523 	-999	-999	-999	-999	2.6142 	3.9241 	4.5369 	5.5886 	-999	-999	-999	-999	-999	1.9432 	3.7178 	4.7883 	-999	-999	-999	-999	-999	-999	0	0	0
38	temp	a	circle	2	1.7999999999999972	-1	65	3 	 3.7769782733692066 	 2 	 0.0	1.0	-999.0	1	-1	1	-1	-999	-0.0	-999	1.7741 	2.8122 	4.135 	-999	-999	-999	-999	-999	-999	3.0183 	4.0428 	5.1711 	-999	-999	-999	-999	-999	-999	1.9635 	2.7064 	4.4527 	-999	-999	-999	-999	-999	-999	0	0	0
39	temp	a	circle	4	0.8718750000000028	1	68	3 	 4.011007685416553 	 1 	 2.0	-999.0	2.0	2	1	-1	-1	-999	-999	-0.0	2.2348 	4.221 	6.1424 	-999	-999	-999	-999	-999	-999	1.8009 	3.7275 	4.6894 	-999	-999	-999	-999	-999	-999	2.6319 	3.8859 	5.1969 	-999	-999	-999	-999	-999	-999	0	0	0
40	temp	a	circle	4	0.7718750000000227	-1	53	3 	 5.218907878581837 	 2 	 3.0	2.0	-999.0	1	-1	1	-1	-999	-0.0	-999	1.9605 	3.8882 	4.7365 	6.2532 	-999	-999	-999	-999	-999	2.1136 	3.8295 	5.6294 	-999	-999	-999	-999	-999	-999	2.753 	3.8934 	5.0339 	6.1207 	-999	-999	-999	-999	-999	0	0	0
41	temp	a	circle	2	1.7000000000000028	1	54	3 	 3.9299531123950824 	 1 	 1.0	-999.0	0.0	2	1	-1	-1	-999	-999	-0.0	2.1229 	3.1601 	4.6522 	-999	-999	-999	-999	-999	-999	3.089 	5.037 	-999	-999	-999	-999	-999	-999	-999	2.3659 	2.8808 	4.6833 	-999	-999	-999	-999	-999	-999	0	0	0
42	temp	a	circle	2	1.7999999999999972	-1	54	3 	 4.871419099129438 	 2 	 0.0	0.0	-999.0	1	-1	1	-1	-999	0.0	-999	2.4514 	3.9998 	5.089 	6.0333 	-999	-999	-999	-999	-999	1.8944 	2.4521 	3.0058 	4.0655 	6.0515 	-999	-999	-999	-999	2.6976 	3.7436 	5.254 	-999	-999	-999	-999	-999	-999	0	0	0
